UIAutomation 2.0.20 (Python 3.12.5, 64 bit)
2024-09-24 09:32:44.569 automation.py[79] main -> Starts, Current Cursor Position: (35, -555)
ControlType: PaneControl    ClassName: #32769    AutomationId:     Rect: (0,0,2560,1440)[2560x1440]    Name: 桌面 1    Handle: 0x10010(65552)    Depth: 0    SupportedPattern: LegacyIAccessiblePattern
    ControlType: WindowControl    ClassName: SunAwtFrame    AutomationId:     Rect: (-640,-2168,3216,8)[3856x2176]    Name: store_python – automation.py    Handle: 0x32384(205700)    Depth: 1    SupportedPattern: LegacyIAccessiblePattern TransformPattern WindowPattern
        ControlType: PaneControl    ClassName: JBRCustomTitleBarControls    AutomationId:     Rect: (3067,-2160,3208,-2120)[141x40]    Name:     Handle: 0x508F2(329970)    Depth: 2    SupportedPattern: LegacyIAccessiblePattern
        ControlType: TitleBarControl    ClassName:     AutomationId:     Rect: (-632,-2165,3208,-2160)[3840x5]    Name:     Handle: 0x0(0)    Depth: 2    ValuePattern.Value: 'store_python – automation.py'    SupportedPattern: LegacyIAccessiblePattern ValuePattern
            ControlType: MenuBarControl    ClassName:     AutomationId: MenuBar    Rect: (-632,-2160,-610,-2138)[22x22]    Name: 系统    Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
                ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (-632,-2160,-610,-2138)[22x22]    Name: 系统    Handle: 0x0(0)    Depth: 4    ExpandCollapsePattern.ExpandCollapseState: ExpandCollapseState.Collapsed    SupportedPattern: ExpandCollapsePattern InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name: 最小化    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name: 还原    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (0,-2160,3208,0)[3208x2160]    Name: 关闭    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
2024-09-24 09:32:44.683 automation.py[114] main -> Ends

UIAutomation 2.0.20 (Python 3.12.5, 64 bit)
2024-09-24 09:33:12.330 automation.py[79] main -> Starts, Current Cursor Position: (963, -310)
ControlType: PaneControl    ClassName: #32769    AutomationId:     Rect: (0,0,2560,1440)[2560x1440]    Name: 桌面 1    Handle: 0x10010(65552)    Depth: 0    SupportedPattern: LegacyIAccessiblePattern
    ControlType: WindowControl    ClassName: WeChatMainWndForPC    AutomationId:     Rect: (1248,117,2469,834)[1221x717]    Name: 微信    Handle: 0x305CA(198090)    Depth: 1    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern TransformPattern WindowPattern
        ControlType: PaneControl    ClassName: popupshadow    AutomationId:     Rect: (1228,97,2489,854)[1261x757]    Name:     Handle: 0x1060A(67082)    Depth: 2    SupportedPattern: LegacyIAccessiblePattern
        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1248,117,2469,834)[1221x717]    Name:     Handle: 0x0(0)    Depth: 2    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1248,117,2469,834)[1221x717]    Name:     Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                ControlType: ToolBarControl    ClassName:     AutomationId:     Rect: (1248,117,1302,834)[54x717]    Name: 导航    Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1257,153,1293,189)[36x36]    Name: 斯    Handle: 0x0(0)    Depth: 5    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
